ts_s,ts_ms,Sensor1_raw,Sensor2_raw,Sensor3_raw,Sensor4_raw,Sensor5_raw,Sensor6_raw,Sensor7_raw,Sensor8_raw,Sensor9_raw,Sensor10_raw
97,96880,25.75,26.25,26.0,28.25,26.0,26.25,26.0,26.0,26.0,26.5
99,98880,25.75,26.25,26.0,28.25,26.0,26.25,26.0,26.0,26.0,26.5
101,100880,25.75,26.25,25.75,28.25,26.0,26.25,26.0,26.0,26.0,26.5
103,102880,25.75,26.25,25.75,28.25,26.0,26.25,26.0,26.0,26.0,26.5
105,104880,25.75,26.25,26.0,28.25,26.0,26.25,26.0,26.0,26.0,26.5
107,106880,25.75,26.25,26.0,28.25,26.0,26.25,26.0,26.0,26.0,26.5
109,108880,25.75,26.25,26.0,28.25,26.0,26.25,26.0,26.0,26.0,26.5
111,110880,25.75,26.25,25.75,28.25,26.0,26.25,26.0,26.0,26.0,26.5
113,112880,25.75,26.25,26.0,28.0,26.0,26.25,26.0,26.0,26.0,26.5
115,114880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
117,116880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
119,118880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
121,120880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
123,122880,26.0,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
125,124880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
127,126880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
129,128880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
131,130880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
133,132880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
135,134880,25.75,26.25,25.75,28.0,26.0,26.25,26.0,26.0,26.0,26.5
137,136880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
139,138880,25.75,26.25,26.0,27.75,26.0,26.25,26.0,26.0,26.0,26.5
141,140880,25.75,26.25,26.0,27.75,26.0,26.25,26.0,26.0,26.0,26.5
143,142880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
145,144880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
147,146880,25.75,26.25,26.0,27.75,26.0,26.25,26.0,26.0,26.0,26.5
149,148880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
151,150880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
153,152880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
155,154880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
157,156880,25.75,26.25,26.0,27.75,26.0,26.25,26.0,26.0,26.0,26.5
159,158880,25.75,26.25,25.75,27.75,26.0,26.25,26.0,26.0,26.0,26.5
161,160880,25.75,26.25,26.0,27.75,26.0,26.25,26.0,26.0,26.0,26.5
163,162880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
165,164880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
167,166880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
169,168880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
